ID_Tarefa,Nome_Tarefa,Evento,Etapa,Tempo_Estimado_Dias
TSK-FEI-001,"Criação de Key Visual, identidade da feira, e guias de marca para expositores",Feira Comercial,Planejamento,20
TSK-FEI-002,Desenvolvimento de Planta Baixa humanizada e Manual do Expositor,Feira Comercial,Planejamento,15
TSK-FEI-003,"Criação e aprovação de peças de sinalização (Pórtico de entrada, tótens de setores e mapas)",Feira Comercial,Comunicação,10
TSK-FEI-004,"Produção de Crachás, Credenciais, Cordões e Ingressos/Passaportes de Acesso",Feira Comercial,Comunicação,7
TSK-FEI-005,"Design do painel backdrop para imprensa, fotos de expositores e espaço de influenciadores",Feira Comercial,Comunicação,7
TSK-FEI-006,"Aprovação de projetos de arquitetura cênica, nivelamento de piso e estandes padronizados/construídos",Feira Comercial,Planejamento,15
TSK-FEI-007,"Montagem de Infraestrutura Temporária (Tendas, pavimentos, fechamentos e containers)",Feira Comercial,Montagem,4
TSK-FEI-008,"Instalação de rede elétrica temporária, quadros de distribuição e geradores de energia",Feira Comercial,Montagem,3
TSK-FEI-009,Execução de projeto de iluminação funcional de estandes e iluminação cênica de passagens,Feira Comercial,Montagem,2
TSK-FEI-010,"Ambientação vegetal de alamedas, praça de alimentação e Lounges VIPs/Descanso",Feira Comercial,Montagem,2
TSK-FEI-011,"Emissão de ART (Atestado de Responsabilidade Técnica) de estruturas, montagem e elétrica",Feira Comercial,Legalidades,10
TSK-FEI-012,Submissão e aprovação do Projeto de Segurança e Vistoria do Corpo de Bombeiros,Feira Comercial,Legalidades,15
TSK-FEI-013,Solicitação de Alvará de Funcionamento e Autorizações da Vigilância Sanitária (Praça de Alimentação),Feira Comercial,Legalidades,15
TSK-FEI-014,"Gestão de Resíduos: Instalação de caçambas, lixeiras e contratação de limpeza contínua",Feira Comercial,Operação,5
TSK-FEI-015,"Contratação de UTIs móveis/Ambulâncias, equipe médica, brigadistas e UTI de prontidão",Feira Comercial,Operação,7
TSK-FEI-016,Organização do Coquetel VIP de Abertura / Preview exclusivo para imprensa e convidados,Feira Comercial,Cerimonial,5
TSK-FEI-017,Gestão do sistema de credenciamento (hardware/software de leitura de QR Code em catracas),Feira Comercial,Operação,7
TSK-FOR-001,"Criação do conceito visual da turma, convite luxo e sistema de escolha de assentos",Baile de Formatura,Comunicação,15
TSK-FOR-002,"Projeto cenográfico do Túnel de Entrada, Portal de Fotos e Palco Principal",Baile de Formatura,Planejamento,12
TSK-FOR-003,Elaboração do Roteiro de Cerimonial da Colação Festiva/Valsa e Brinde dos Formandos,Baile de Formatura,Cerimonial,7
TSK-FOR-004,Alinhamento com Mestre de Cerimônias (Nominatas de formandos e ordem de entrada),Baile de Formatura,Cerimonial,3
TSK-FOR-005,Instalação de painéis de LED para transmissão de retrospectiva e apoio visual de DJs/Bandas,Baile de Formatura,Montagem,2
TSK-FOR-006,"Instalação de efeitos especiais de palco (Chuva de papel picado, fogos frios/Sparklers e fumaça)",Baile de Formatura,Montagem,1
TSK-FOR-007,"Organização e distribuição de becas, canudos e adereços de pista de dança",Baile de Formatura,Operação,2
TSK-DEB-001,"Criação da identidade visual temática, convites interativos e filtro de redes sociais",Festa de Debutante,Comunicação,10
TSK-DEB-002,"Desenho do projeto cenográfico (Pista de dança plotada, lounges jovens e iluminação neon/LED)",Festa de Debutante,Planejamento,10
TSK-DEB-003,"Ensaios e alinhamento do Roteiro de Cerimonial (Troca de sapato, anel, valsa e homenagens)",Festa de Debutante,Cerimonial,5
TSK-DEB-004,"Coordenar recepção de convidados, controle de pulseiras de acesso VIP e camarim da debutante",Festa de Debutante,Execução,1
TSK-COR-001,"Criação de identidade visual da campanha interna, e-mail marketing e peças digitais",Festa Corporativa,Comunicação,7
TSK-COR-002,"Projeto de ambientação da marca (Backdrops para fotos, cenografia do palco e sinalização)",Festa Corporativa,Planejamento,8
TSK-COR-003,"Roteirização do Cerimonial de Premiação de funcionários (Apresentação, troféus e discursos)",Festa Corporativa,Cerimonial,4
TSK-COR-004,Montagem de aparador de premiações e alinhamento com Mestre de Cerimônias e Som,Festa Corporativa,Cerimonial,1
TSK-COR-005,"Contratação de atrações interativas (Cabines de foto 360, caricaturistas e atrações musicais)",Festa Corporativa,Produção,7
TSK-LAN-001,Desenvolvimento do conceito visual do lançamento e peças digitais para convite exclusivo,Lançamento de Produto,Comunicação,10
TSK-LAN-002,"Cenografia de revelação de produto (Mecânica de desvelamento, tótens interativos e iluminação de destaque)",Lançamento de Produto,Planejamento,10
TSK-LAN-003,Roteirização do momento do discurso do CEO/Executivos e apresentação do produto aos VIPs,Lançamento de Produto,Cerimonial,3
TSK-LAN-004,Montagem de Ilha Audiovisual (Ecrãs/LEDs com vídeos institucionais e som ambiente ajustado),Lançamento de Produto,Montagem,1
TSK-LAN-005,"Gestão do receptivo VIP, entrega de Press Kits / Brindes corporativos e lista de presença",Lançamento de Produto,Execução,1
TSK-CAS-TRAD-001,"Mapeamento do perfil dos noivos, alinhamento de expectativas e definição do orçamento teto (Budget Global)",Casamento Clássico,Planejamento,5
TSK-CAS-TRAD-002,"Pesquisa de mercado, seleção e visita técnica aos locais potenciais para cerimônia e recepção",Casamento Clássico,Planejamento,10
TSK-CAS-TRAD-003,"Elaboração de edital/briefing de concorrência para fornecedores-chave (Decoração, Buffet, Foto/Vídeo)",Casamento Clássico,Planejamento,7
TSK-CAS-TRAD-004,"Solicitação, análise comparativa de orçamentos e apresentação de propostas de fornecedores aos noivos",Casamento Clássico,Planejamento,12
TSK-CAS-TRAD-005,"Negociação, validação jurídica das cláusulas e assinatura de contratos de todos os prestadores",Casamento Clássico,Planejamento,10
TSK-CAS-TRAD-006,"Levantamento arquitetônico do espaço (medição de pé-direito, acessos, pontos de energia e água)",Casamento Clássico,Planejamento,3
TSK-CAS-TRAD-007,"Desenvolvimento da Planta Baixa técnica com setorização (mesas, buffet, pista, palco, lounges, apoio)",Casamento Clássico,Planejamento,10
TSK-CAS-TRAD-008,"Criação do projeto de Layout 3D, moodboards de texturas e paleta de cores da decoração",Casamento Clássico,Planejamento,14
TSK-CAS-TRAD-009,Dimensionamento de carga elétrica (kW) e contratação/posicionamento de geradores de energia de backup,Casamento Clássico,Planejamento,5
TSK-CAS-TRAD-010,Dimensionamento e contratação de climatização/aquecimento para áreas cobertas e abertas,Casamento Clássico,Planejamento,5
TSK-CAS-TRAD-011,"Curadoria e seleção de mobiliário (mesas, cadeiras de jantar, bistrôs, sofás, puffs e banquetas)",Casamento Clássico,Produção,8
TSK-CAS-TRAD-012,"Desenvolvimento do projeto de iluminação cênica (ribaltas, luz de foco floral, varais e iluminação de pista)",Casamento Clássico,Produção,10
TSK-CAS-TRAD-013,"Projeto de cenografia e engenharia cênica (fechamentos em tecido, pisos elevados, naves e estruturas de cobertura)",Casamento Clássico,Produção,12
TSK-CAS-TRAD-014,"Projeto arte-floral: definição das espécies de época, arranjos de mesa, arcos de cerimônia e buquê",Casamento Clássico,Produção,10
TSK-CAS-TRAD-015,"Design e curadoria da mesa de doces e bolo (peças de suporte, bandejas de prata/cerâmica, forminhas e cenografia suspensa)",Casamento Clássico,Produção,8
TSK-CAS-TRAD-016,"Degustação do menu do buffet, definição de serviço (empratado/americano/volante) e alinhamento de restrições alimentares",Casamento Clássico,Produção,15
TSK-CAS-TRAD-017,"Curadoria do Bar de Drinks: seleção do menu de coquetelaria, estimativa de insumos e bebidas alcoólicas",Casamento Clássico,Produção,7
TSK-CAS-TRAD-018,"Criação da identidade visual completa (monograma, paleta, tipografia e elementos gráficos)",Casamento Clássico,Comunicação,14
TSK-CAS-TRAD-019,"Design, aprovação e envio do Save The Date impresso e/ou digital",Casamento Clássico,Comunicação,5
TSK-CAS-TRAD-020,"Diagramação, produção gráfica e caligrafia do Convite Oficial e envelopes",Casamento Clássico,Comunicação,15
TSK-CAS-TRAD-021,"Desenvolvimento da papelaria do dia (Menús, cartões de reservado, livros de votos, leques e mimos de lavabo)",Casamento Clássico,Comunicação,7
TSK-CAS-TRAD-022,Criação do mapa visual de assentos (Seating Chart / Marcadores de Mesa) e sinalização indicativa do local,Casamento Clássico,Comunicação,5
TSK-CAS-TRAD-023,"Curadoria e contratação de atrações artísticas (Orquestra/Canto para cerimônia, DJ, Bandas e performances virtuosas)",Casamento Clássico,Produção,15
TSK-CAS-TRAD-024,"Alinhamento de Rider Técnico de áudio, iluminação de palco e mapa de palco com os músicos e DJs",Casamento Clássico,Produção,7
TSK-CAS-TRAD-025,Solicitação e pagamento de taxas de legalidades: Direitos autorais ECAD e Seguro de Responsabilidade Civil,Casamento Clássico,Legalidades,7
TSK-CAS-TRAD-026,Gestão de confirmação de presença (RSVP Ativo e Passivo) e consolidação da lista final de convidados,Casamento Clássico,Operação,15
TSK-CAS-TRAD-027,"Elaboração da Nominata do Cortejo (ordem detalhada de avós, pais, padrinhos, damas e pajens)",Casamento Clássico,Cerimonial,5
TSK-CAS-TRAD-028,"Criação do Roteiro Protocolar Minuto a Minuto (Receptivo, entrada, trocas de música, votos, alianças, cumprimentos e saída)",Casamento Clássico,Cerimonial,7
TSK-CAS-TRAD-029,"Elaboração do Roteiro da Festa (Entrada dos noivos, brinde, corte do bolo, primeira dança, abertura da pista e buquê)",Casamento Clássico,Cerimonial,5
TSK-CAS-TRAD-030,Realização do ensaio geral do cortejo religioso/ecumênico com os noivos e padrinhos,Casamento Clássico,Cerimonial,1
TSK-CAS-TRAD-031,"Acompanhamento do cronograma de montagem cenográfica, estrutura elétrica, iluminação e som (D-2 ao D-0)",Casamento Clássico,Montagem,3
TSK-CAS-TRAD-032,"Recepção, conferência de acervo e posicionamento de móveis, flores, louças e toalhas conforme a planta baixa",Casamento Clássico,Montagem,1
TSK-CAS-TRAD-033,"Passagem de som da cerimônia e banda, alinhamento de microfones do celebrante e testes de iluminação",Casamento Clássico,Montagem,1
TSK-CAS-TRAD-034,Gestão do camarim e acompanhamento do cronograma de beleza/vestimento dos noivos (Dia da Noiva/Noivo),Casamento Clássico,Execução,1
TSK-CAS-TRAD-035,"Recepção e organização do alinhamento do cortejo de padrinhos, pais e noivos na concentração",Casamento Clássico,Execução,1
TSK-CAS-TRAD-036,"Execução do cerimonial de entrada, condução de rituais, troca de alianças e assinatura de actas",Casamento Clássico,Execução,1
TSK-CAS-TRAD-037,"Coordenação da sessão de fotos organizadas (noivos com pais, padrinhos e família)",Casamento Clássico,Execução,1
TSK-CAS-TRAD-038,"Gestão da recepção da festa: coordenação do buffet, bar, entradas triunfais, brinde, valsa e abertura da pista",Casamento Clássico,Execução,1
TSK-CAS-TRAD-039,"Supervisão contínua da limpeza de banheiros, recolhimento de louças, reposição de insumos e segurança",Casamento Clássico,Execução,1
TSK-CAS-TRAD-040,"Coordenação da desmontagem, inventário de avarias/quebras, devolução de móveis/acervos e fechamento do local",Casamento Clássico,Desmontagem,2
TSK-CAS-DEST-001,Visita técnica de prospecção técnica ao destino (Praia/Campo/Serra) para análise de acessos e logística de carga,Destination Wedding,Planejamento,12
TSK-CAS-DEST-002,"Pesquisa, orçamentação e contratação de fornecedores regionais vs. frete de fornecedores da capital",Destination Wedding,Planejamento,15
TSK-CAS-DEST-003,"Curadoria de hospedagem, bloqueio de tarifários operacionais e parcerias com hotéis/pousadas locais",Destination Wedding,Planejamento,10
TSK-CAS-DEST-004,"Planejamento e coordenação de logística de traslado (transfers, vans, barcos ou carrinhos de golfe) para convidados",Destination Wedding,Planejamento,8
TSK-CAS-DEST-005,Engenharia e aprovação de estrutura de cobertura temporária (tendas transparentes/tensionadas) contra intempéries,Destination Wedding,Planejamento,10
TSK-CAS-DEST-006,Planejamento e cotação de Plano B rigoroso (Plano de Chuva/Vento) com cenografia adaptável instantânea,Destination Wedding,Planejamento,7
TSK-CAS-DEST-007,"Criação de site de casamento interativo com guias de viagem, dicas locais, dress code e confirmação de presença",Destination Wedding,Comunicação,10
TSK-CAS-DEST-008,Design e montagem de Kits de Boas-Vindas (Welcome Kits / Mimos) com produtos locais para entrega nos quartos,Destination Wedding,Comunicação,7
TSK-CAS-DEST-009,"Planejamento, orçamentação e execução do evento de recepção de boas-vindas (Welcome Drink / Pizza Party / Sunset)",Destination Wedding,Produção,10
TSK-CAS-DEST-010,"Adequação cenográfica e floral para resistir às condições climáticas de praia/campo (umidade, calor, vento)",Destination Wedding,Produção,8
TSK-CAS-DEST-011,"Gerenciamento de licenças ambientais, autorizações de uso de praia/espaço público e postura municipal",Destination Wedding,Legalidades,15
TSK-CAS-DEST-012,Acompanhamento e coordenação das atividades de vários dias (Welcome Drink + Casamento + Ressaca/Brunch),Destination Wedding,Execução,3
TSK-CAS-MINI-001,"Pesquisa e curadoria de locais intimistas de alto padrão (Restaurantes gastronômicos, bistrôs, mansões private)",Mini Wedding,Planejamento,8
TSK-CAS-MINI-002,"Elaboração de projeto de cenografia afetiva, integração de acervo pessoal do casal e arranjos minunciosos",Mini Wedding,Planejamento,7
TSK-CAS-MINI-003,Desenvolvimento de Menu Degustação Harmonizado exclusivo com chef de cozinha e sommelier,Mini Wedding,Produção,10
TSK-CAS-MINI-004,Curadoria de papelaria personalizada à mão (cartões de boas-vindas individuais e menus nomeados por convidado),Mini Wedding,Comunicação,5
TSK-CAS-MINI-005,"Projeto de Iluminação aconchegante (velas, cordões de luz quentes e pontos indiretos para clima intimista)",Mini Wedding,Produção,5
TSK-CAS-MINI-006,"Curadoria de música acústica de alta sensibilidade (quarteto de cordas moderno, jazz trio ou voz e violão)",Mini Wedding,Produção,7
TSK-CAS-MINI-007,"Coordenação de cerimônia fluida, sem protocolos rígidos, focada em discursos e homenagens dos convidados",Mini Wedding,Cerimonial,3
